doc_id,avg_rr,num_gold,doc_length_words
val_v00074,0.7666666666666667,3,917
val_v00067,1.0,3,815
val_v00076,1.0,5,842
val_v00073,0.9,3,920
val_v00070,0.5,5,758
val_v00077,1.0,4,885
val_v00059,0.5333333333333333,5,785
val_v00075,1.0,2,817
val_v00071,0.6333333333333333,2,963
val_v00058,0.23166666666666663,2,903
val_v00080,0.5666666666666667,4,894
val_v00072,0.7,3,814
val_v00065,0.0,5,1015
val_v00079,0.22999999999999998,5,818
val_v00069,1.0,4,672
val_v00078,0.0,5,865
val_v00118,0.2633333333333333,1,889
val_v00089,1.0,1,770
val_v00105,0.4333333333333333,1,1024
val_v00115,0.45,1,974
val_v00119,1.0,2,759
val_v00112,1.0,2,785
val_v00095,0.8,1,962
val_v00087,0.8,2,884
val_v00088,1.0,5,775
val_v00107,0.22190476190476188,4,905
val_v00093,1.0,5,848
val_v00103,1.0,2,863
val_v00085,1.0,4,1039
val_v00086,1.0,3,892
val_v00083,0.0,4,814
val_v00094,0.3233333333333333,4,965
val_v00102,0.0,3,831
val_v00090,1.0,2,972
val_v00097,0.2952380952380952,3,903
val_v00109,1.0,3,839
val_v00111,0.9,3,936
val_v00084,0.14366946778711484,3,963
val_v00120,0.0,5,956
val_v00100,0.0,3,862
val_v00104,0.06225328734919529,5,1030
val_v00117,0.7,2,1012
val_v00113,0.6333333333333333,4,925
val_v00082,0.3,2,853
val_v00110,0.07484848484848486,4,860
val_v00101,0.18611111111111112,5,953
val_v00108,0.32333333333333336,5,884
val_v00096,0.5222222222222223,3,841
val_v00092,0.36666666666666664,1,812
val_v00098,0.7666666666666666,3,897
val_v00106,1.0,3,893
val_v00091,0.5,1,967
val_v00116,0.205,4,799
val_v00114,1.0,2,1067
val_v00099,0.0,5,873
val_v00081,0.3416666666666667,1,1113
val_v00141,1.0,3,930
val_v00143,0.15047619047619049,3,880
val_v00158,0.0,5,869
val_v00123,0.17388888888888887,4,906
val_v00157,0.39722222222222225,4,881
val_v00124,1.0,3,1095
val_v00131,0.2214285714285714,1,974
val_v00134,0.5,2,1076
val_v00132,0.26666666666666666,2,872
val_v00127,0.26190476190476186,3,875
val_v00129,0.4666666666666666,3,814
val_v00150,0.9,5,875
val_v00145,0.20317460317460317,2,1041
val_v00135,0.5,4,1020
val_v00128,0.6333333333333334,4,842
val_v00153,0.19,2,849
val_v00155,1.0,1,916
val_v00126,0.6666666666666667,2,935
val_v00122,0.3666666666666666,5,861
val_v00156,0.0,2,905
val_v00121,0.0,5,923
val_v00152,0.8,5,834
val_v00136,1.0,2,935
val_v00139,1.0,3,840
val_v00144,1.0,2,971
val_v00138,0.26538461538461533,1,863
val_v00147,1.0,2,894
val_v00125,0.45,3,1049
val_v00142,0.21666666666666665,4,723
val_v00130,0.19833333333333333,5,865
val_v00160,1.0,5,843
val_v00151,0.4166666666666667,3,884
val_v00159,0.13675324675324677,3,730
val_v00154,0.6900000000000001,3,948
val_v00137,0.35666666666666663,1,899
val_v00146,0.34523809523809523,4,905
val_v00148,0.5785714285714285,3,1008
val_v00140,0.29999999999999993,5,804
val_v00149,0.4333333333333333,5,783
val_v00133,1.0,1,920
val_v00191,0.26857142857142857,2,913
val_v00169,0.9,4,850
val_v00165,0.12651515151515152,2,955
val_v00176,1.0,1,906
val_v00186,0.14999999999999997,1,965
val_v00175,0.4066666666666666,1,1007
val_v00168,0.27999999999999997,3,867
val_v00197,0.09428571428571428,2,857
val_v00190,0.3,1,902
val_v00167,1.0,1,840
val_v00170,0.6333333333333333,4,901
val_v00182,0.5,3,843
val_v00166,1.0,2,896
val_v00173,0.18650793650793646,3,917
val_v00184,0.0,5,907
val_v00196,0.30666666666666664,4,858
val_v00181,0.19675324675324674,5,845
val_v00195,1.0,2,985
val_v00188,0.2515151515151515,5,877
val_v00163,0.30666666666666664,1,988
val_v00178,1.0,2,929
val_v00185,0.4,5,983
val_v00183,0.9,1,895
val_v00192,0.4666666666666666,5,880
val_v00200,0.05207282913165266,3,848
val_v00164,0.0,4,1093
val_v00198,0.16936507936507939,4,811
val_v00180,1.0,4,914
val_v00177,0.75,4,874
val_v00172,0.26857142857142857,4,877
val_v00189,1.0,1,815
val_v00174,0.32999999999999996,3,1075
val_v00187,0.35,5,996
val_v00171,0.0,5,787
val_v00194,0.9,3,973
val_v00161,0.215,1,980
val_v00179,0.0,5,738
val_v00199,0.25190476190476185,5,779
val_v00193,0.09583351431177518,4,978
val_v00220,1.0,1,868
val_v00212,0.8666666666666668,1,865
val_v00218,0.12485994397759104,2,796
val_v00210,1.0,3,945
val_v00217,0.0,1,902
val_v00208,0.3333333333333333,1,866
val_v00219,0.3352380952380952,5,788
val_v00238,1.0,1,864
val_v00227,0.22888888888888886,3,905
val_v00216,0.7333333333333334,1,847
val_v00201,0.0,1,973
val_v00226,0.0,5,900
val_v00235,0.13968253968253969,5,959
val_v00202,0.20818181818181816,5,866
val_v00225,0.8,4,1011
val_v00231,0.22523809523809524,5,1066
val_v00239,0.5,5,854
val_v00234,1.0,4,1097
val_v00203,1.0,3,893
val_v00230,0.5333333333333333,4,847
val_v00221,1.0,2,913
val_v00228,0.0,4,840
val_v00215,0.4666666666666666,3,990
val_v00233,0.9,3,906
val_v00237,0.11818181818181817,4,850
val_v00211,0.8,2,949
val_v00236,0.0,3,925
val_v00209,0.4666666666666666,2,768
val_v00240,0.9,3,860
val_v00213,0.1419047619047619,5,830
val_v00224,0.09736111111111109,4,932
val_v00222,0.0,4,791
val_v00223,0.0,1,862
val_v00214,0.36666666666666664,3,942
val_v00204,1.0,4,1073
val_v00229,1.0,4,812
val_v00205,0.5,3,998
val_v00207,1.0,5,934
val_v00232,0.22333333333333333,3,895
val_v00206,0.9,1,875
val_v00280,0.6785714285714286,1,892
val_v00243,0.0,1,880
val_v00254,1.0,4,846
val_v00274,0.9,1,1075
val_v00247,0.0,4,817
val_v00249,1.0,5,755
val_v00270,0.0,1,925
val_v00276,0.21333333333333332,2,852
val_v00244,0.9,2,999
val_v00267,0.22857142857142856,2,816
val_v00275,0.9,4,924
val_v00271,0.45,1,964
val_v00246,0.5666666666666667,3,934
val_v00266,0.0,2,914
val_v00242,0.0492512077294686,2,801
val_v00265,0.54,4,1026
val_v00248,0.250116144018583,2,978
val_v00250,0.75,4,910
val_v00279,0.07224089635854343,3,794
val_v00261,1.0,3,1031
val_v00273,0.18,3,843
val_v00259,0.6,3,878
val_v00277,1.0,3,891
val_v00268,0.5,4,845
val_v00256,0.0,1,850
val_v00278,0.4,5,865
val_v00262,0.35,4,893
val_v00253,0.9,5,922
val_v00255,0.6,2,952
val_v00264,0.2033333333333333,3,1034
val_v00252,0.2733333333333333,5,895
val_v00251,0.12037480063795854,4,933
val_v00245,1.0,2,1037
val_v00258,1.0,3,843
val_v00257,1.0,3,868
val_v00241,1.0,3,1099
val_v00269,0.7166666666666667,3,698
val_v00272,0.9,3,777
val_v00263,0.22916666666666666,4,937
val_v00260,0.8,5,861
val_v00298,1.0,2,821
val_v00300,1.0,1,851
val_v00285,0.15047619047619049,1,880
val_v00311,0.0,2,953
val_v00309,0.9,3,733
val_v00312,1.0,2,832
val_v00292,0.18857142857142856,1,817
val_v00315,0.3333333333333333,1,961
val_v00295,0.8,2,956
val_v00307,0.0,4,931
val_v00284,0.24,2,1041
val_v00305,0.24318181818181817,4,1100
val_v00299,0.08969696969696969,4,800
val_v00282,1.0,3,847
val_v00308,1.0,5,789
val_v00310,0.35,2,922
val_v00301,0.19190476190476188,2,816
val_v00291,1.0,3,934
val_v00304,0.24666666666666665,3,817
val_v00294,0.09440476190476191,5,946
val_v00314,0.4666666666666666,4,1012
val_v00297,0.39,3,860
val_v00320,0.9,4,882
val_v00318,0.8,5,864
val_v00289,0.5,1,858
val_v00313,0.8400000000000001,4,878
val_v00317,0.44666666666666666,3,891
val_v00296,0.5333333333333334,4,828
val_v00316,0.8,2,952
val_v00288,0.0,1,1005
val_v00293,0.25666666666666665,2,924
val_v00303,0.37222222222222223,1,848
val_v00287,0.0,1,874
val_v00286,0.26746031746031745,3,865
val_v00306,0.0,3,822
val_v00302,1.0,5,772
val_v00283,0.24,4,864
val_v00319,0.1525,5,692
val_v00290,0.9,5,877
val_v00281,0.6333333333333334,5,829
val_v00321,0.05652471200297288,1,971
val_v00344,0.9,1,963
val_v00359,1.0,1,785
val_v00342,0.039347826086956514,2,833
val_v00325,0.4666666666666667,1,954
val_v00341,0.26341991341991344,1,885
val_v00350,1.0,2,802
val_v00351,1.0,4,837
val_v00334,0.9,1,951
val_v00329,0.0,2,877
val_v00338,0.6166666666666666,2,938
val_v00333,0.7,1,888
val_v00340,1.0,1,887
val_v00330,0.0,2,873
val_v00337,1.0,2,846
val_v00345,0.45,2,1003
val_v00331,0.19666666666666668,5,1008
val_v00346,0.0,1,846
val_v00336,0.06692389006342495,4,854
val_v00339,0.43,1,804
val_v00326,0.9,2,911
val_v00335,0.14246031746031745,2,928
val_v00324,0.16555555555555554,2,1036
val_v00354,0.29,1,1046
val_v00347,0.2043290043290043,4,862
val_v00355,0.0,4,871
val_v00358,0.28509803921568627,2,906
val_v00356,1.0,2,863
val_v00322,0.0,4,875
val_v00360,0.36666666666666664,4,912
val_v00327,1.0,4,872
val_v00353,0.0,1,989
val_v00349,1.0,1,833
val_v00343,0.9,5,772
val_v00323,0.8,5,909
val_v00348,0.19857142857142857,5,791
val_v00332,0.41666666666666663,4,884
val_v00357,0.0375487012987013,5,838
val_v00352,1.0,3,877
val_v00328,0.12713786213786216,2,883
val_v00389,1.0,2,761
val_v00371,0.85,2,876
val_v00390,1.0,1,956
val_v00394,1.0,1,956
val_v00364,0.26190476190476186,1,910
val_v00398,0.5166666666666666,2,955
val_v00369,0.39,2,822
val_v00375,0.0,5,1029
val_v00379,0.13666666666666666,3,801
val_v00387,0.21333333333333332,2,921
val_v00385,0.5,2,984
val_v00383,0.3166666666666666,4,866
val_v00400,0.8333333333333333,1,890
val_v00391,1.0,3,920
val_v00367,0.18357142857142858,3,819
val_v00365,0.19666666666666668,5,1103
val_v00395,0.24722222222222218,3,913
val_v00388,1.0,3,867
val_v00384,0.3333333333333333,5,951
val_v00397,0.0953015873015873,3,836
val_v00396,0.11722222222222223,2,887
val_v00376,0.0,3,789
val_v00378,0.8,1,954
val_v00377,0.6666666666666666,5,877
val_v00386,0.2633333333333333,5,835
val_v00370,1.0,1,845
val_v00373,0.7,4,926
val_v00399,0.9,4,835
val_v00380,0.36666666666666664,4,893
val_v00374,0.5166666666666666,3,886
val_v00393,0.06517379679144385,5,925
val_v00372,0.2352380952380952,2,865
val_v00381,0.08119769119769119,4,983
val_v00392,0.41843137254901963,4,820
val_v00361,0.19465116279069766,5,854
val_v00382,1.0,3,851
val_v00363,0.9,5,922
val_v00368,1.0,4,963
val_v00362,0.8,5,759
val_v00439,1.0,1,887
val_v00429,0.4333333333333333,2,738
val_v00401,0.5833333333333333,2,943
val_v00433,0.4666666666666666,5,873
val_v00407,0.0,4,861
val_v00403,0.0,1,962
val_v00437,0.11797326786688489,1,844
val_v00427,1.0,1,903
val_v00438,0.3666666666666666,1,889
val_v00420,0.62,1,891
val_v00414,0.19555555555555557,5,957
val_v00409,0.14404761904761904,5,799
val_v00425,0.6,5,910
val_v00426,0.9,3,904
val_v00405,1.0,3,1044
val_v00430,0.07568181818181818,3,910
val_v00413,0.0,2,900
val_v00402,0.26666666666666666,4,779
val_v00404,0.7666666666666666,2,1019
val_v00422,0.18395604395604398,2,841
val_v00418,0.0,3,904
val_v00411,0.6666666666666667,3,954
val_v00419,0.06954695304695305,5,846
val_v00431,0.5166666666666666,3,946
val_v00406,0.9,2,846
val_v00416,1.0,4,930
val_v00412,0.08555555555555555,4,853
val_v00417,0.9,2,929
val_v00415,1.0,5,1079
val_v00434,0.9,2,1005
val_v00410,0.22999999999999998,5,910
val_v00440,0.0,1,838
val_v00424,0.43999999999999995,5,998
val_v00435,0.9,2,948
val_v00423,1.0,3,869
val_v00432,0.6,1,959
val_v00421,0.2833333333333333,4,878
val_v00436,0.0,5,839
val_v00428,0.6333333333333333,3,886
val_v00408,0.11065359477124184,5,751
val_v00462,0.0,1,880
val_v00463,0.0,1,907
val_v00443,0.4,2,996
val_v00458,0.5666666666666667,2,903
val_v00452,0.0,4,798
val_v00455,0.9,1,1062
val_v00442,1.0,3,834
val_v00448,0.40909090909090906,4,986
val_v00461,1.0,4,858
val_v00460,1.0,2,883
val_v00444,0.9,2,1092
val_v00445,0.5,1,1050
val_v00465,0.4068965517241379,4,1059
val_v00447,0.43,5,783
val_v00475,0.0,1,993
val_v00471,0.13666666666666666,2,945
val_v00441,0.11984126984126982,2,861
val_v00468,0.1634199134199134,4,777
val_v00469,0.8666666666666666,2,862
val_v00449,1.0,1,740
val_v00474,0.6333333333333334,1,1130
val_v00479,1.0,1,888
val_v00446,0.08037581699346405,2,836
val_v00472,0.3333333333333333,3,835
val_v00473,0.18999999999999997,4,903
val_v00477,0.5,2,846
val_v00478,1.0,1,881
val_v00470,0.36666666666666664,4,886
val_v00453,0.1324310776942356,3,826
val_v00456,0.08356643356643356,4,888
val_v00464,0.3833333333333333,4,1008
val_v00467,0.10692933083176985,3,973
val_v00466,0.2581818181818182,1,943
val_v00450,0.8333333333333333,4,898
val_v00451,0.5,4,955
val_v00480,0.0,4,873
val_v00454,0.18871794871794872,4,1029
val_v00476,0.0,3,935
val_v00459,0.6666666666666667,3,948
val_v00457,0.0,5,884
val_v00484,1.0,1,954
val_v00509,0.6666666666666667,2,809
val_v00499,1.0,4,790
val_v00493,0.0646125116713352,2,802
val_v00517,0.8,1,867
val_v00508,0.8,5,765
val_v00494,0.0,2,967
val_v00491,1.0,1,1039
val_v00488,0.09465935955297658,1,885
val_v00500,0.9,2,841
val_v00503,0.08478057889822595,5,918
val_v00512,1.0,1,947
val_v00510,0.9,4,903
val_v00498,0.7,2,828
val_v00482,0.6666666666666666,3,860
val_v00492,0.2038095238095238,3,783
val_v00505,0.54,2,1014
val_v00481,0.45666666666666667,3,723
val_v00513,1.0,1,855
val_v00496,0.7666666666666666,4,872
val_v00504,1.0,1,952
val_v00489,0.0,3,870
val_v00502,0.0892929292929293,4,857
val_v00520,0.4666666666666667,2,955
val_v00516,0.35079365079365077,3,875
val_v00497,0.18523809523809526,3,851
val_v00515,0.24666666666666665,4,1051
val_v00485,0.4066666666666666,2,909
val_v00519,0.7,4,903
val_v00507,0.2998892580287929,5,787
val_v00506,0.0,5,803
val_v00486,0.0,4,850
val_v00501,0.3666666666666666,3,974
val_v00490,0.85,4,907
val_v00495,0.47333333333333333,4,1030
val_v00483,0.19190476190476188,5,919
val_v00518,0.7666666666666666,5,854
val_v00487,0.6666666666666666,5,897
val_v00511,1.0,3,864
val_v00514,0.5,1,996
val_v00552,0.5,5,820
val_v00557,0.54,1,854
val_v00526,0.64,1,1002
val_v00538,0.7666666666666667,1,819
val_v00550,0.8,3,899
val_v00532,0.3333333333333333,4,836
val_v00560,0.20833333333333331,1,918
val_v00528,0.0,1,894
val_v00553,0.10520671834625324,3,847
val_v00525,0.5,1,995
val_v00543,0.7045454545454546,1,968
val_v00539,1.0,2,758
val_v00535,1.0,2,1074
val_v00537,0.0,1,946
val_v00534,0.6,5,1103
val_v00521,0.6666666666666666,4,972
val_v00536,1.0,1,865
val_v00559,1.0,1,780
val_v00541,0.0,1,942
val_v00522,0.7666666666666667,4,794
val_v00523,0.35,3,880
val_v00549,1.0,2,861
val_v00547,1.0,3,905
val_v00540,0.16787878787878788,1,919
val_v00542,0.0,5,807
val_v00556,1.0,3,949
val_v00544,0.14833333333333332,4,965
val_v00529,0.4666666666666666,2,789
val_v00530,0.15746031746031747,4,810
val_v00551,0.22333333333333333,3,1001
val_v00545,1.0,3,1075
val_v00527,0.0,5,825
val_v00546,0.08036231884057972,3,821
val_v00558,0.07363624937154348,5,871
val_v00533,0.3352380952380952,1,888
val_v00531,0.0,1,865
val_v00524,1.0,2,955
val_v00548,1.0,4,851
val_v00555,0.09777777777777777,5,898
val_v00554,1.0,4,990
val_v00568,0.65,2,903
val_v00596,0.2785714285714286,1,832
val_v00586,0.0,1,943
val_v00589,0.10476190476190475,2,875
val_v00563,1.0,2,961
val_v00579,1.0,1,811
val_v00593,1.0,3,829
val_v00582,0.5666666666666667,2,819
val_v00592,1.0,5,877
val_v00591,0.5666666666666667,2,1025
val_v00565,0.20222222222222222,2,953
val_v00584,0.9,2,987
val_v00572,1.0,2,795
val_v00594,1.0,1,901
val_v00598,0.19857142857142857,3,975
val_v00561,0.21000000000000002,4,911
val_v00595,0.7,3,961
val_v00571,0.1757142857142857,3,929
val_v00585,0.0,3,1024
val_v00570,0.09027777777777778,5,860
val_v00573,0.16151515151515153,5,855
val_v00600,1.0,2,949
val_v00566,0.7,1,1000
val_v00575,0.26190476190476186,5,1076
val_v00577,0.06605763517528222,5,881
val_v00578,0.0,3,812
val_v00597,1.0,1,929
val_v00580,0.0,5,852
val_v00587,0.2138095238095238,5,771
val_v00569,0.6333333333333333,1,787
val_v00567,0.4666666666666666,5,847
val_v00562,0.25,3,919
val_v00583,0.18190476190476187,1,971
val_v00588,0.2,3,872
val_v00599,1.0,5,763
val_v00564,0.9,5,1051
val_v00590,1.0,3,940
val_v00581,0.0,4,959
val_v00574,0.6,1,999
val_v00576,1.0,1,904
val_v00621,0.8666666666666666,1,911
val_v00638,0.3327380952380952,1,1008
val_v00619,0.36666666666666664,4,838
val_v00632,0.25759803921568625,1,843
val_v00627,0.8,1,837
val_v00622,0.0,1,847
val_v00607,0.16111111111111112,2,891
val_v00617,0.6,3,907
val_v00630,0.0,2,911
val_v00633,1.0,2,885
val_v00603,0.0,3,919
val_v00639,0.1869047619047619,5,842
val_v00606,0.16064213564213564,4,851
val_v00615,0.6,5,1028
val_v00637,1.0,4,972
val_v00618,0.11757759784075575,4,862
val_v00640,1.0,3,868
val_v00608,1.0,1,851
val_v00609,1.0,3,725
val_v00623,0.1488888888888889,3,908
val_v00613,1.0,3,864
val_v00601,0.22773809523809524,5,1062
val_v00611,0.17523809523809525,5,746
val_v00616,1.0,2,851
val_v00628,0.27999999999999997,2,893
val_v00631,0.26666666666666666,5,862
val_v00610,1.0,2,809
val_v00624,0.11595959595959596,4,983
val_v00602,1.0,1,858
val_v00612,0.8,2,907
val_v00626,1.0,1,969
val_v00614,1.0,2,1010
val_v00625,1.0,4,1002
val_v00636,0.6,1,878
val_v00634,0.75,3,933
val_v00635,0.9,3,971
val_v00629,0.65,4,796
val_v00620,0.0,4,837
val_v00605,0.4284313725490196,4,1024
val_v00604,0.45,2,1034
val_v00654,0.3733333333333333,1,967
val_v00659,0.9,1,809
val_v00680,1.0,1,921
val_v00679,0.4333333333333333,2,793
val_v00666,0.7666666666666666,1,838
val_v00662,0.0,2,882
val_v00656,0.22888888888888886,2,927
val_v00670,0.33999999999999997,2,865
val_v00657,0.7,2,846
val_v00661,0.0,2,939
val_v00674,1.0,2,934
val_v00675,0.37166666666666665,3,943
val_v00643,0.26666666666666666,4,905
val_v00650,0.2038095238095238,5,819
val_v00668,0.0,2,898
val_v00651,0.31818181818181823,3,893
val_v00641,0.16499999999999998,4,867
val_v00669,0.08755336167100873,1,850
val_v00652,0.23166666666666663,5,885
val_v00647,0.85,2,816
val_v00648,1.0,5,770
val_v00663,0.8,3,829
val_v00676,1.0,2,872
val_v00660,0.7333333333333333,5,919
val_v00677,1.0,3,793
val_v00671,0.11333333333333333,3,937
val_v00664,0.13178281068524972,5,1050
val_v00653,1.0,3,936
val_v00658,0.0,4,895
val_v00667,0.0,2,897
val_v00673,0.39999999999999997,1,910
val_v00672,0.27999999999999997,4,763
val_v00642,0.6,4,869
val_v00678,0.8333333333333334,5,900
val_v00665,0.6333333333333333,4,1087
val_v00646,0.1733333333333333,3,1018
val_v00655,0.9,4,916
val_v00649,0.5,5,775
val_v00645,0.05413039287181163,4,1052
val_v00644,0.9,5,960
val_v00698,0.23055555555555554,5,920
val_v00704,0.4666666666666666,1,935
val_v00708,0.9,3,847
val_v00716,0.10511111111111113,1,830
val_v00715,0.3133333333333333,4,964
val_v00712,0.5333333333333333,4,808
val_v00697,0.5666666666666667,3,806
val_v00702,1.0,3,844
val_v00696,0.9,4,894
val_v00687,0.6333333333333333,1,880
val_v00706,0.11094017094017095,4,903
val_v00693,0.5900000000000001,4,893
val_v00695,0.3233333333333333,5,1038
val_v00701,0.27999999999999997,1,810
val_v00717,0.06893801902876313,2,866
val_v00720,0.10172400698716486,4,840
val_v00707,0.7,4,910
val_v00710,1.0,1,871
val_v00690,0.30666666666666664,4,877
val_v00711,1.0,3,876
val_v00714,1.0,3,1056
val_v00699,0.7666666666666667,5,835
val_v00694,0.12730880230880232,4,1028
val_v00719,0.27499999999999997,5,836
val_v00686,0.0,5,909
val_v00713,0.21857142857142858,4,934
val_v00685,0.65,3,953
val_v00705,0.8,5,913
val_v00689,0.9,4,830
val_v00718,0.2899999999999999,4,1090
val_v00683,0.15944444444444444,5,888
val_v00684,0.25666666666666665,3,936
val_v00703,0.15436507936507934,3,886
val_v00681,0.8666666666666666,2,974
val_v00709,1.0,3,857
val_v00700,0.8,3,799
val_v00682,0.0,4,894
val_v00688,0.39722222222222225,1,921
val_v00692,0.5,4,843
val_v00691,0.0795263157894737,5,873
val_v00749,0.0,2,699
val_v00731,1.0,2,909
val_v00733,0.0,1,855
val_v00722,0.09173015873015873,1,795
val_v00737,0.09341991341991342,4,888
val_v00725,0.28500000000000003,2,975
val_v00751,1.0,2,920
val_v00721,0.19675324675324676,2,846
val_v00752,0.9,4,744
val_v00746,0.5,5,881
val_v00738,0.3833333333333333,3,911
val_v00726,0.5,3,915
val_v00748,0.17523809523809525,5,773
val_v00754,1.0,5,907
val_v00750,0.5,3,898
val_v00728,0.20857142857142855,2,933
val_v00730,0.06796035805626598,4,884
val_v00734,0.2622222222222222,1,1111
val_v00744,0.25666666666666665,5,949
val_v00740,1.0,1,941
val_v00736,0.04376445162351744,4,963
val_v00755,0.5,3,963
val_v00727,0.16619047619047617,4,819
val_v00741,0.2519047619047619,4,897
val_v00723,0.4666666666666666,4,822
val_v00729,0.0,5,837
val_v00742,0.7,2,822
val_v00735,0.4833333333333333,2,1107
val_v00753,0.1875,5,931
val_v00739,0.22999999999999998,5,888
val_v00724,0.0,1,958
val_v00756,0.0,1,868
val_v00747,0.4666666666666666,5,799
val_v00732,1.0,4,819
val_v00743,1.0,1,873
val_v00745,0.9,3,1026
val_v00366,0.25052631578947365,3,899
val_v00162,0.9,2,1032
